137 Q0 bkf40U0WKDb/	1  0.18002042 Siena1
176 Q0 H7yn9xP5Hw/0	4  0.48731825 Siena1
176 Q0 BGXvDtgjeb1+	5  0.40224794 Siena1
176 Q0 7ycygAyhDLej	6  0.3607833 Siena1
176 Q0 67bHjgN1riv1	7  0.3303925 Siena1
176 Q0 MvBrY3BHaISK	8  0.31683755 Siena1
176 Q0 DXRFAbPAmIRd	9  0.31295228 Siena1
176 Q0 k41qN3UFCrD0	10  0.30416605 Siena1
177 Q0 HCpy20X4pIJM	1  0.7563193 Siena1
177 Q0 n4kIzSX1V2K+	2  0.7292467 Siena1
177 Q0 hVxKThQA3hlv	3  0.63158065 Siena1
177 Q0 tILBudQsLw+P	4  0.5518813 Siena1
177 Q0 //Cw1j6meULn	5  0.5511626 Siena1
177 Q0 7zRMp6B7LzT7	6  0.546792 Siena1
177 Q0 jkJdvQeDsb/U	7  0.54412884 Siena1
177 Q0 ADE1FtorWsMK	8  0.5208905 Siena1
177 Q0 Fv8ahz+1Sx6a	9  0.51371217 Siena1
177 Q0 IdH5NnRxJsLE	10  0.5004911 Siena1
182 Q0 fT7FZoT6Ufo5	1  0.8199707 Siena1
182 Q0 yOsIVNUs0FyY	2  0.74683785 Siena1
182 Q0 c0amBvctMFft	3  0.72475857 Siena1
182 Q0 kmwARWf60Sbz	4  0.70896065 Siena1
182 Q0 e7nB2/IIkE2G	5  0.70265454 Siena1
182 Q0 PUNAQ39JyiHP	6  0.7004681 Siena1
182 Q0 6ci/93MNYkZ0	7  0.6832464 Siena1
182 Q0 O2TnWR6YkCqq	8  0.67414266 Siena1
182 Q0 1AVmUZLT9Wuf	9  0.67081577 Siena1
182 Q0 Oq4Gr49JR4VB	10  0.65395665 Siena1
183 Q0 KEFPNDliT/G8	1  0.6594266 Siena1
183 Q0 YR12X9GG5jJI	2  0.4734792 Siena1
183 Q0 MjdYAiYp8jVC	3  0.466579 Siena1
183 Q0 JVUljqAsWYMX	4  0.46361768 Siena1
183 Q0 vQZJUea3haGo	5  0.45874348 Siena1
183 Q0 f6wF46uds1jo	6  0.45689583 Siena1
183 Q0 Eogkpu+JXbqC	7  0.45036218 Siena1
183 Q0 RemaS8mPElhs	8  0.4481633 Siena1
183 Q0 TOptmexDNa+Q	9  0.43435302 Siena1
183 Q0 y0gevTTnTQD3	10  0.43111682 Siena1
180 Q0 9OOac1taX5A5	1  0.60304135 Siena1
180 Q0 UfSHdyufpqCg	2  0.578337 Siena1
180 Q0 mN2nnPb1ZmgB	3  0.5692651 Siena1
180 Q0 fAW/xgp7DMYR	4  0.56621736 Siena1
180 Q0 prmKj6H35+vD	5  0.5505133 Siena1
180 Q0 Ht6qBTgCNiU8	6  0.52303034 Siena1
180 Q0 NBRIa4mXBsc0	7  0.49253684 Siena1
180 Q0 OAdkre+ovrYo	8  0.48243308 Siena1
180 Q0 BUzBJdKc+3/h	9  0.4709912 Siena1
180 Q0 Pg8S4sWIXBx6	10  0.46487814 Siena1
181 Q0 j6kWUTeg5zL8	1  0.58045816 Siena1
181 Q0 Sl0S1DoWqSML	2  0.54889137 Siena1
181 Q0 mmGzLAu1UiHJ	3  0.5277443 Siena1
181 Q0 +tzMjxwjIx9Z	4  0.50790095 Siena1
181 Q0 qHZAN3mmFV3a	5  0.5071172 Siena1
181 Q0 coGZav+gGJG8	6  0.50304836 Siena1
181 Q0 erVnZuyOI5FR	7  0.50304836 Siena1
181 Q0 u0EkzOkcyS0C	8  0.49684843 Siena1
181 Q0 1HcEj8TiC8As	9  0.48743138 Siena1
181 Q0 HF+DVHynO8C+	10  0.48720282 Siena1
