137 Q0 LMaikkynzkiG	1  0.33297676 Siena2
176 Q0 Ev6GhF4xNW+9	3  0.30506027 Siena2
176 Q0 J5bSX+7a4OAT	4  0.25815633 Siena2
176 Q0 D+Qs/Fu6cp7i	5  0.23469639 Siena2
176 Q0 7zRMp6B7LzT7	6  0.22672872 Siena2
176 Q0 BGXvDtgjeb1+	7  0.21883096 Siena2
176 Q0 MvBrY3BHaISK	8  0.19771336 Siena2
176 Q0 xtaRQ+P6RQY2	9  0.18956475 Siena2
176 Q0 DXRFAbPAmIRd	10  0.17418595 Siena2
177 Q0 LMAGYEl/4qG8	1  0.3257155 Siena2
177 Q0 hVxKThQA3hlv	2  0.280501 Siena2
177 Q0 Ev6GhF4xNW+9	3  0.27866435 Siena2
177 Q0 CAdddhlWf0dm	4  0.26760995 Siena2
177 Q0 kqkdYXLZ/PUs	5  0.25480324 Siena2
177 Q0 xdpi4mVpeYBF	6  0.23671249 Siena2
177 Q0 cxIbShx8lMf+	7  0.23592232 Siena2
177 Q0 KdbzD0qnBHaS	8  0.22976643 Siena2
177 Q0 KmyInOdhp+uT	9  0.22975016 Siena2
177 Q0 wm/ShOyd7zky	10  0.22835019 Siena2
182 Q0 O2TnWR6YkCqq	1  0.28098533 Siena2
182 Q0 1AVmUZLT9Wuf	2  0.27249768 Siena2
182 Q0 wNu8hvoUZl4y	3  0.26555976 Siena2
182 Q0 SAQ/z1KFjiHu	4  0.24590969 Siena2
182 Q0 sPE6Fbb+Lb64	5  0.24180599 Siena2
182 Q0 fT7FZoT6Ufo5	6  0.23962066 Siena2
182 Q0 SWdcFP+SkbkH	7  0.23634432 Siena2
182 Q0 yOsIVNUs0FyY	8  0.23513894 Siena2
182 Q0 l15dZMBckT3N	9  0.23070873 Siena2
182 Q0 M2jrwLmBVR7A	10  0.22864136 Siena2
183 Q0 1H4I31x/PLXC	1  0.1857638 Siena2
183 Q0 Z3u/zBTrq+0y	2  0.17671816 Siena2
183 Q0 RemaS8mPElhs	3  0.17291954 Siena2
183 Q0 lYA8HfrH3pn/	4  0.17156371 Siena2
183 Q0 kEMW8FYt0Kxv	5  0.16063619 Siena2
183 Q0 wVKtJ1eb5H+X	6  0.15568022 Siena2
183 Q0 jGhe9sUNsfSQ	7  0.15153503 Siena2
183 Q0 KEFPNDliT/G8	8  0.15004878 Siena2
183 Q0 0bP/ad2divW/	9  0.14986248 Siena2
183 Q0 7umX82HzKEKu	10  0.14517802 Siena2
180 Q0 L/a+tE7dLFcA	1  0.30670676 Siena2
180 Q0 K8nc6ghWLHxA	2  0.30377436 Siena2
180 Q0 Pg8S4sWIXBx6	3  0.30317175 Siena2
180 Q0 KER2BaEcROdw	4  0.29053915 Siena2
180 Q0 wvUTTEiQWwFB	5  0.28203866 Siena2
180 Q0 6mP8YLg2E+Px	6  0.27969503 Siena2
180 Q0 a0HAhAh8nv7x	7  0.27216503 Siena2
180 Q0 NBRIa4mXBsc0	8  0.266102 Siena2
180 Q0 mN2nnPb1ZmgB	9  0.257654 Siena2
180 Q0 uE2wuID4irzK	10  0.25499576 Siena2
181 Q0 CY9r8tFBbHD0	1  0.9284451 Siena2
181 Q0 z4pkb9mvUlPY	2  0.8930091 Siena2
181 Q0 j6kWUTeg5zL8	3  0.8687744 Siena2
181 Q0 mmGzLAu1UiHJ	4  0.85796547 Siena2
181 Q0 SZm0cLEMW8w4	5  0.84497905 Siena2
181 Q0 G4yi2J8NhKUJ	6  0.84497905 Siena2
181 Q0 kkFZNA2tOhSl	7  0.84497905 Siena2
181 Q0 xsFiO3bv/qJm	8  0.84497905 Siena2
181 Q0 uyoBJjkD4YaH	9  0.84497905 Siena2
181 Q0 LxARFSbgVCps	10  0.84497905 Siena2
